fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,brand,AF score
1797695590515780_2193118244306844,0.0,29,0,2018-10-04 04:00:00.000,24,10,1797695590515780,similac,29.0
1797695590515780_2198122117139790,0.0,32,0,2018-10-07 03:59:00.000,29,3,1797695590515780,similac,32.0
1797695590515780_2201820276769974,0.0,593,12,2018-10-14 04:00:00.000,576,13,1797695590515780,similac,593.0
1797695590515780_2207744549510880,0.0,24,1,2018-10-25 13:00:00.000,22,1,1797695590515780,similac,24.0
1797695590515780_2215695228715812,0.0,270,46,2018-11-08 13:00:00.000,208,23,1797695590515780,similac,270.0
1797695590515780_2216346001984068,0.0,156,21,2018-11-11 04:00:00.000,129,10,1797695590515780,similac,156.0
1797695590515780_2246167582335243,0.0,42,11,2018-12-25 17:00:00.000,37,5,1797695590515780,similac,42.0
1797695590515780_2248113795473955,0.0,59,5,2018-12-29 17:00:00.000,54,4,1797695590515780,similac,59.0
1797695590515780_305121633552818,0.0,62,13,2018-10-02 13:00:00.000,49,8,1797695590515780,similac,62.0
1811892812375557_2259507420947425,0.0,47,20,2018-10-06 13:00:00.000,3589,13,1811892812375557,optimum,47.0
1811892812375557_2309996612565172,0.0,76,12,2018-12-25 17:00:00.000,70,4,1811892812375557,optimum,76.0
1811892812375557_279832382869846,0.0,556,53,2018-10-10 13:00:00.000,492,37,1811892812375557,optimum,556.0
1811892812375557_766093267072899,0.0,3022,544,2018-12-16 13:00:00.000,2714,559,1811892812375557,optimum,3022.0
189822711065364_1834625726585046,0.0,193,22,2018-10-31 11:30:00.000,175,10,189822711065364,friso,193.0
189822711065364_1838157532898532,,49,12,2018-11-02 11:30:00.000,42,0,189822711065364,friso,49.0
189822711065364_1842639429117009,0.0,69,12,2018-11-05 10:21:00.000,60,1,189822711065364,nan,69.0
189822711065364_1851385408242411,0.0,155,15,2018-11-13 12:00:00.000,143,4,189822711065364,nan,155.0
189822711065364_1852215424826076,2.0,828,649,2018-11-13 04:30:00.000,694,688,189822711065364,friso,830.0
189822711065364_1852306334816985,11.0,1431,811,2018-11-22 12:00:00.000,1193,821,189822711065364,friso,1442.0
189822711065364_1865044613543157,0.0,177,30,2018-11-25 01:33:00.000,150,4,189822711065364,friso,177.0
189822711065364_1869737076407244,0.0,1253,24,2018-11-27 04:28:00.000,1231,2,189822711065364,friso,1253.0
189822711065364_1877943522253266,0.0,181,24,2018-12-03 11:30:00.000,157,9,189822711065364,enfa,181.0
189822711065364_1881874218526863,0.0,55,11,2018-12-07 01:30:00.000,46,1,189822711065364,friso,55.0
189822711065364_1881874218526863,0.0,55,11,2018-12-07 01:30:00.000,46,1,189822711065364,nan,55.0
189822711065364_1883325435048408,0.0,165,30,2018-12-11 01:15:00.000,95,4,189822711065364,enfa,165.0
189822711065364_1887307361316882,0.0,471,3,2018-12-10 12:15:00.000,317,1,189822711065364,nan,471.0
189822711065364_1891390077575277,,47,11,2018-12-16 01:40:00.000,37,0,189822711065364,enfa,47.0
189822711065364_1891390620908556,0.0,45,6,2018-12-14 01:30:00.000,37,1,189822711065364,friso,45.0
189822711065364_1902146729832945,,261,6,2018-12-21 11:50:00.000,256,1,189822711065364,enfa,261.0
